iter	Passed	Remaining
417	2277	3170
418	2284	3167
419	2287	3159
420	2291	3151
421	2297	3146
422	2301	3139
423	2305	3131
424	2308	3123
425	2317	3122
426	2321	3115
427	2326	3109
428	2331	3103
429	2335	3096
430	2339	3089
431	2345	3083
432	2349	3076
433	2352	3068
434	2356	3060
435	2364	3058
436	2367	3050
437	2372	3043
438	2376	3037
439	2380	3029
440	2383	3021
441	2387	3014
442	2394	3010
443	2397	3002
444	2401	2995
445	2407	2990
446	2410	2982
447	2414	2974
448	2417	2967
449	2423	2961
450	2426	2953
451	2430	2946
452	2433	2938
453	2441	2936
454	2446	2929
455	2449	2922
456	2455	2917
457	2458	2909
458	2462	2902
459	2466	2894
460	2473	2891
461	2476	2884
462	2480	2876
463	2484	2870
464	2488	2863
465	2492	2856
466	2495	2848
467	2501	2843
468	2504	2836
469	2508	2828
470	2512	2821
471	2517	2816
472	2521	2809
473	2525	2802
474	2528	2794
475	2534	2790
476	2538	2783
477	2543	2777
478	2551	2775
479	2556	2769
480	2559	2762
481	2565	2756
482	2569	2749
483	2572	2742
484	2576	2736
485	2582	2731
486	2586	2724
487	2590	2717
488	2594	2710
489	2598	2704
490	2602	2697
491	2605	2690
492	2610	2684
493	2614	2677
494	2618	2671
495	2621	2664
496	2630	2661
497	2633	2655
498	2637	2648
499	2643	2643
500	2646	2636
501	2651	2629
502	2654	2622
503	2660	2618
504	2664	2611
505	2668	2604
506	2671	2597
507	2675	2591
508	2679	2584
509	2683	2577
510	2688	2573
511	2692	2566
512	2695	2559
513	2699	2552
514	2706	2548
515	2711	2543
516	2715	2537
517	2720	2531
518	2724	2524
519	2728	2518
520	2731	2511
521	2742	2511
522	2746	2505
523	2751	2499
524	2755	2493
525	2759	2486
526	2763	2479
527	2769	2475
528	2772	2468
529	2776	2462
530	2780	2455
531	2786	2451
532	2790	2444
533	2793	2438
534	2798	2432
535	2802	2425
536	2805	2419
537	2809	2412
538	2816	2409
539	2820	2402
540	2824	2396
541	2827	2389
542	2832	2384
543	2836	2377
544	2841	2371
545	2847	2367
546	2851	2361
547	2854	2354
548	2858	2347
549	2863	2343
550	2867	2336
551	2871	2330
552	2875	2324
553	2880	2318
554	2884	2312
555	2887	2306
556	2892	2300
557	2897	2295
558	2901	2288
559	2905	2282
560	2910	2277
561	2914	2271
562	2918	2265
563	2926	2262
564	2931	2256
565	2934	2250
566	2940	2245
567	2945	2240
568	2949	2233
569	2955	2229
570	2959	2223
571	2963	2217
572	2967	2211
573	2974	2207
574	2978	2201
575	2981	2194
576	2987	2190
577	2991	2184
578	2995	2178
579	2999	2172
580	3008	2169
581	3013	2164
582	3018	2159
583	3022	2153
584	3027	2147
585	3030	2141
586	3037	2137
587	3041	2131
588	3045	2125
589	3053	2121
590	3057	2116
591	3061	2110
592	3066	2104
593	3070	2098
594	3073	2092
595	3078	2086
596	3088	2084
597	3092	2078
598	3096	2073
599	3100	2067
600	3104	2060
601	3107	2054
602	3114	2050
603	3118	2044
604	3122	2038
605	3125	2032
606	3131	2027
607	3135	2021
608	3139	2015
609	3142	2009
610	3147	2004
611	3151	1997
612	3154	1991
613	3160	1987
614	3166	1982
615	3170	1976
616	3177	1972
617	3181	1966
618	3185	1960
619	3195	1958
620	3201	1953
621	3219	1956
622	3233	1956
623	3245	1955
624	3250	1950
625	3260	1947
626	3265	1942
627	3280	1943
628	3288	1939
629	3296	1936
630	3306	1933
631	3312	1928
632	3323	1927
633	3329	1922
634	3335	1917
635	3340	1911
636	3344	1905
637	3354	1903
638	3357	1897
639	3361	1890
640	3368	1886
641	3372	1880
642	3375	1874
643	3379	1868
644	3388	1864
645	3392	1859
646	3398	1854
647	3402	1848
648	3407	1842
649	3411	1836
650	3416	1831
651	3421	1826
652	3427	1821
653	3432	1815
654	3437	1810
655	3443	1805
656	3447	1799
657	3452	1794
658	3456	1788
659	3465	1785
660	3469	1779
661	3475	1774
662	3480	1768
663	3486	1764
664	3494	1760
665	3500	1755
666	3506	1750
667	3511	1745
668	3515	1739
669	3519	1733
670	3526	1729
671	3530	1723
672	3534	1717
673	3543	1713
674	3547	1707
675	3551	1702
676	3557	1697
677	3561	1691
678	3565	1685
679	3576	1683
680	3581	1677
681	3589	1673
682	3595	1668
683	3604	1665
684	3608	1659
685	3668	1678
686	3690	1681
687	3697	1676
688	3706	1673
689	3714	1668
690	3723	1664
691	3734	1661
692	3741	1657
693	3749	1653
694	3755	1648
695	3763	1643
696	3792	1648
697	3800	1644
698	3805	1638
699	3809	1632
700	3816	1627
701	3821	1622
702	3825	1615
703	3830	1610
704	3834	1604
705	3838	1598
706	3846	1594
707	3851	1588
708	3854	1582
709	3860	1576
710	3864	1570
711	3867	1564
712	3871	1558
713	3878	1553
714	3882	1547
715	3886	1541
716	3895	1537
717	3898	1531
718	3902	1525
719	3907	1519
720	3911	1513
721	3915	1507
722	3919	1501
723	3928	1497
724	3932	1491
725	3936	1485
726	3941	1480
727	3945	1474
728	3949	1468
729	3956	1463
730	3960	1457
731	3964	1451
732	3971	1446
733	3975	1440
734	3979	1434
735	3985	1429
736	3989	1423
737	3993	1417
738	3997	1411
739	4009	1408
740	4013	1402
741	4019	1397
742	4023	1391
743	4028	1386
744	4037	1382
745	4041	1376
746	4045	1370
747	4050	1364
748	4054	1358
749	4058	1352
750	4065	1347
751	4068	1341
752	4072	1335
753	4077	1330
754	4084	1325
755	4088	1319
756	4092	1313
757	4099	1308
758	4104	1303
759	4109	1297
760	4119	1293
761	4124	1288
762	4131	1283
763	4135	1277
764	4139	1271
765	4147	1266
766	4153	1261
767	4162	1257
768	4168	1252
769	4172	1246
770	4178	1241
771	4182	1235
772	4187	1229
773	4209	1229
774	4216	1224
775	4221	1218
776	4228	1213
777	4232	1207
778	4235	1201
779	4242	1196
780	4246	1190
781	4250	1184
782	4253	1178
783	4260	1173
784	4263	1167
785	4267	1161
786	4273	1156
787	4277	1150
788	4282	1145
789	4288	1139
790	4291	1134
791	4295	1128
792	4299	1122
793	4306	1117
794	4310	1111
795	4314	1105
796	4319	1100
797	4323	1094
798	4326	1088
799	4330	1082
800	4336	1077
801	4340	1071
802	4343	1065
803	4347	1059
804	4353	1054
805	4357	1048
806	4360	1042
807	4364	1037
808	4369	1031
809	4373	1025
810	4377	1020
811	4380	1014
812	4390	1009
813	4394	1004
814	4399	998
815	4404	993
816	4408	987
817	4412	981
818	4426	978
819	4433	973
820	4440	968
821	4444	962
822	4452	957
823	4456	951
824	4469	948
825	4474	942
826	4480	937
827	4485	931
828	4489	926
829	4498	921
830	4502	915
831	4507	910
832	4513	904
833	4517	899
834	4521	893
835	4528	888
836	4533	882
837	4537	877
838	4544	872
839	4549	866
840	4552	860
841	4558	855
842	4562	849
843	4566	843
844	4569	838
845	4577	833
846	4581	827
847	4585	821
848	4590	816
849	4594	810
850	4598	805
851	4602	799
852	4607	794
853	4611	788
854	4616	782
855	4619	777
856	4625	771
857	4629	766
858	4633	760
859	4638	755
860	4642	749
861	4645	743
862	4649	738
863	4662	733
864	4680	730
865	4695	726
866	4699	720
867	4705	715
868	4711	710
869	4725	706
870	4735	701
871	4742	696
872	4751	691
873	4756	685
874	4768	681
875	4773	675
876	4778	670
877	4784	664
878	4788	659
879	4796	654
880	4800	648
881	4804	642
882	4811	637
883	4816	632
884	4823	626
885	4830	621
886	4835	616
887	4839	610
888	4849	605
889	4854	599
890	4860	594
891	4866	589
892	4870	583
893	4880	578
894	4884	573
895	4891	567
896	4895	562
897	4900	556
898	4906	551
899	4911	545
900	4917	540
901	4928	535
902	4932	529
903	4939	524
904	4943	518
905	4947	513
906	4956	508
907	4962	502
908	4965	497
909	4972	491
910	4978	486
911	4981	480
912	4990	475
913	4994	469
914	4998	464
915	5005	459
916	5011	453
917	5015	448
918	5022	442
919	5027	437
920	5038	432
921	5043	426
922	5048	421
923	5053	415
924	5058	410
925	5067	404
926	5075	399
927	5083	394
928	5088	388
929	5092	383
930	5101	378
931	5107	372
932	5122	367
933	5127	362
934	5133	356
935	5138	351
936	5146	346
937	5152	340
938	5156	334
939	5165	329
940	5171	324
941	5180	318
942	5183	313
943	5187	307
944	5195	302
945	5200	296
946	5205	291
947	5211	285
948	5217	280
949	5227	275
950	5235	269
951	5242	264
952	5249	258
953	5260	253
954	5267	248
955	5275	242
956	5281	237
957	5290	231
958	5298	226
959	5309	221
960	5315	215
